Wall time,Step,Value
1657786956.8064318,133,0.0
1657786969.7021525,134,0.0
1657786981.7775586,135,0.0
1657786993.9240775,136,0.0
1657787005.8596833,137,-0.3266666531562805
1657787017.6376455,138,-0.31333333253860474
1657787029.7190506,139,0.0
1657787041.7692363,140,0.0
1657787052.789091,141,0.0
1657787065.2084227,142,0.0
1657787077.4262145,143,0.0
1657787089.4472432,144,0.0
1657787101.0018368,145,-0.3333333432674408
1657787112.621113,146,0.0
1657787124.2536986,147,0.0
1657787136.6992717,148,-1.0199999809265137
1657787148.856733,149,0.0
1657787161.0118337,150,0.0
1657787172.5741794,151,0.0
1657787184.786359,152,0.0
1657787196.0862296,153,0.0
1657787207.7374265,154,0.0
1657787219.3859353,155,0.0
1657787231.703169,156,0.0
1657787243.1757748,157,0.0
1657787255.2858412,158,0.0
1657787267.4458907,159,0.0
1657787278.9676201,160,0.0
1657787291.079083,161,0.0
1657787303.1885464,162,0.0
1657787315.0488183,163,-0.3266666531562805
1657787326.8654954,164,-0.3400000035762787
1657787338.9844918,165,0.0
1657787350.4981027,166,0.0
1657787362.6978729,167,0.0
1657787374.84808,168,0.0
1657787387.2484381,169,0.0
1657787399.0879197,170,0.0
1657787410.5474503,171,0.0
1657787421.9649973,172,0.0
1657787434.1112263,173,0.0
1657787445.8409686,174,0.0
1657787457.9625924,175,0.0
1657787470.0507703,176,0.0
1657787481.9708035,177,0.0
1657787493.6365445,178,0.0
1657787505.720983,179,0.0
1657787517.5924766,180,0.0
1657787529.6993592,181,0.0
1657787541.7667704,182,0.0
1657787554.1149187,183,0.0
1657787565.6401126,184,0.0
1657787577.7802143,185,0.0
1657787590.049762,186,0.0
1657787602.3942518,187,0.0
1657787614.5902226,188,0.0
1657787626.6089911,189,0.0
1657787638.1703885,190,0.0
1657787649.981279,191,-0.3199999928474426
1657787661.2484846,192,0.0
1657787672.8023207,193,0.0
1657787684.8559299,194,0.0
1657787696.4768028,195,0.0
1657787707.899384,196,0.0
1657787719.2673006,197,0.0
1657787730.7356222,198,0.0
1657787743.0041351,199,0.0
1657787755.3075476,200,0.0
1657787766.9897273,201,0.0
1657787778.1969805,202,0.0
1657787790.5361578,203,0.0
1657787802.5743136,204,0.0
1657787814.8829532,205,0.0
1657787827.0228407,206,0.0
1657787839.1725163,207,0.0
1657787850.6839087,208,0.0
1657787862.6980205,209,0.0
1657787874.946379,210,0.0
1657787886.4449291,211,0.0
1657787898.4217737,212,0.0
1657787910.497775,213,0.0
1657787922.3668613,214,0.0
1657787934.0559974,215,0.0
1657787946.143058,216,0.0
1657787957.7065806,217,0.0
1657787971.428704,218,0.0
1657787983.7549963,219,0.0
1657787996.086589,220,0.0
1657788008.2074263,221,0.0
1657788020.6086385,222,0.0
1657788033.0730186,223,0.0
1657788045.4181826,224,0.0
1657788057.1007264,225,0.0
1657788069.0594926,226,0.0
1657788081.282094,227,0.0
1657788092.583674,228,0.0
1657788104.6750135,229,0.0
1657788116.794289,230,0.0
1657788129.004094,231,0.0
1657788141.351794,232,0.0
1657788153.4999404,233,0.0
1657788165.6792397,234,0.0
1657788177.6898644,235,0.0
1657788189.102414,236,0.0
1657788201.2812319,237,0.0
1657788213.249071,238,0.0
1657788224.8741868,239,-0.31333333253860474
1657788237.0789428,240,0.0
1657788248.6723838,241,0.0
1657788261.011558,242,0.0
1657788272.7208643,243,0.0
1657788284.8653927,244,0.0
1657788296.9841287,245,0.0
1657788309.0042462,246,0.0
1657788321.1118257,247,0.0
1657788332.2543106,248,0.0
1657788343.8228426,249,0.0
1657788355.3644853,250,0.0
1657788367.3965082,251,0.0
1657788379.4843051,252,0.0
1657788391.1799226,253,0.0
1657788403.3024244,254,0.0
1657788415.4191656,255,0.0
1657788426.7891643,256,0.0
1657788438.7765522,257,0.0
1657788450.9499977,258,0.0
1657788463.0372546,259,0.0
1657788474.211566,260,0.0
1657788485.7718053,261,0.0
1657788496.8980725,262,0.0
1657788508.5440502,263,0.0
1657788520.6697836,264,0.0
1657788531.9076617,265,0.0
1657788544.1597474,266,0.0
1657788556.2513056,267,0.0
1657788568.6866188,268,0.0
1657788580.8275526,269,0.0
1657788593.2251825,270,0.0
1657788604.640388,271,0.0
1657788615.8561816,272,0.0
1657788628.138213,273,0.0
1657788640.3343759,274,0.0
1657788651.6421847,275,0.0
1657788663.1125855,276,0.0
1657788674.9448373,277,0.0
1657788686.212528,278,0.0
1657788698.0408297,279,0.0
1657788709.5850909,280,0.0
1657788721.055924,281,0.0
1657788733.1294754,282,0.0
1657788744.7068143,283,0.0
1657788757.053447,284,0.0
1657788768.39008,285,0.0
1657788780.743577,286,0.0
1657788792.7806418,287,0.0
1657788804.3543692,288,0.0
1657788816.0344017,289,0.0
1657788827.3697662,290,0.0
1657788838.696457,291,0.0
1657788850.833075,292,0.0
1657788863.1952405,293,0.0
1657788875.311491,294,0.0
1657788887.9985554,295,0.0
1657788899.9494388,296,0.0
1657788911.875247,297,0.0
1657788924.1477551,298,0.0
1657788936.2848594,299,0.0
1657788948.4612026,300,0.0
1657788959.7527397,301,0.0
1657788971.0316749,302,0.0
1657788983.1810238,303,0.0
1657788996.076142,304,0.0
1657789008.189638,305,0.0
1657789020.0636604,306,0.0
